#CONTEXT	START	END	MNEMONIC_ZEQER	MNEMONIC_SEQ64	MNEMONIC_ZELDARET	SIZE	PARAM_COUNT	SERFMT	CMDFMT	FLAGS	ENUM
S	0x90	0x9f	ldch	startchan	ldchan	3	2	L2	%d;%r	0x60004	CHANNEL_OFFSET
S	0xa0	0xaf	rldch	rstartchan	rldchan	3	2	L2	%d;%r	0x60004	CHANNEL_OFFSET_REL
S	0xb0	0xbf	ldseq	loadseq	ldseq	4	3	L12	%d;%d;%r	0x50004	LOAD_SEQ
S	0xc4	0xc4	runseq	unk_C4	runseq	3	2	11	%d;%d	0x00004	S_RUNSEQ
S	0xc5	0xc5	scriptctr	unk_C5	scriptctr	3	1	2	%04x	0x00004	S_SCRIPTCTR
S	0xc6	0xc6	stop	unk_C6	stop	1	0	X	;	0x00004	S_STOP
S	0xc7	0xc7	sts	sts	stseq	4	2	12	%d;%r	0xd0044	STORE_TO_SELF_S
S	0xc8	0xc8	subi	sub	sub	2	1	1	%d	0x10004	SUBTRACT_IMM_S
S	0xc9	0xc9	andi	and	and	2	1	1	%02x	0x10004	AND_IMM_S
S	0xcc	0xcc	ldi	ldi	ldi	2	1	1	%d	0x10004	LOAD_IMM_S
S	0xcd	0xcd	dyncall	tblcall	dyncall	3	1	2	%r	0x42004	CALL_TABLE
S	0xce	0xce	rand	rand	rand	2	1	1	%d	0x10004	RAND_S
S	0xd0	0xd0	snamode	noteallocpolicy	notealloc	2	1	1	%02x	0x10004	NOTEALLOC_POLICY_S
S	0xd1	0xd1	ldshgtbl	ldshorttablegate	ldshortgatearr	3	1	2	%r	0x50004	LOAD_SHORTTBL_GATE
S	0xd2	0xd2	ldshvtbl	ldshorttablevel	ldshortvelarr	3	1	2	%r	0x50004	LOAD_SHORTTBL_VEL
